age,job,marital,education,balance,housing,loan,contact,day,month,duration,pdays,poutcome,deposit
59,0,1,1,2343,1,0,2,5,8,1042,-1,3,1
56,0,1,1,45,0,0,2,5,8,1467,-1,3,1
41,9,1,1,1270,1,0,2,5,8,1389,-1,3,1
55,7,1,1,2476,1,0,2,5,8,579,-1,3,1
54,0,1,2,184,0,0,2,5,8,673,-1,3,1
42,4,2,2,0,1,1,2,5,8,562,-1,3,1
56,4,1,2,830,1,1,2,6,8,1201,-1,3,1
60,5,0,1,545,1,0,2,6,8,1030,-1,3,1
37,9,1,1,1,1,0,2,6,8,608,-1,3,1
28,7,2,1,5090,1,0,2,6,8,1297,-1,3,1
38,0,2,1,100,1,0,2,7,8,786,-1,3,1
30,1,1,1,309,1,0,2,7,8,1574,-1,3,1
29,4,1,2,199,1,1,2,7,8,1689,-1,3,1
46,1,2,2,460,1,0,2,7,8,1102,-1,3,1
31,9,2,2,703,1,0,2,8,8,943,-1,3,1
35,4,0,2,3837,1,0,2,8,8,1084,-1,3,1
32,1,2,0,611,1,0,2,8,8,541,-1,3,1
49,7,1,1,-8,1,0,2,8,8,1119,-1,3,1
41,0,1,1,55,1,0,2,8,8,1120,-1,3,1
49,0,0,1,168,1,1,2,8,8,513,-1,3,1
28,0,0,1,785,1,0,2,8,8,442,-1,3,1
43,4,2,2,2067,1,0,2,8,8,756,-1,3,1
43,4,0,2,388,1,0,2,8,8,2087,-1,3,1
43,1,1,0,-192,1,0,2,8,8,1120,-1,3,1
37,10,2,1,381,1,0,2,8,8,985,-1,3,1
35,1,2,1,40,1,0,2,9,8,617,-1,3,1
31,9,2,2,22,1,0,2,9,8,483,-1,3,1
43,1,2,1,3,1,0,2,9,8,929,-1,3,1
31,0,1,1,307,1,0,2,9,8,538,-1,3,1
28,1,2,1,759,1,0,2,9,8,710,-1,3,1
32,1,1,1,-1,1,0,2,9,8,653,-1,3,1
60,9,1,0,65,1,0,2,9,8,1028,-1,3,1
26,1,2,1,82,1,0,2,9,8,654,-1,3,1
40,1,1,1,10,1,0,2,9,8,1692,-1,3,1
33,1,0,0,390,1,0,2,9,8,665,-1,3,1
32,4,2,2,311,0,0,2,12,8,757,-1,3,1
35,1,1,0,414,0,0,2,13,8,504,-1,3,1
33,4,0,1,5,1,0,2,13,8,1346,-1,3,1
38,4,1,2,119,1,0,2,13,8,568,-1,3,1
23,2,2,0,4,1,0,2,13,8,395,-1,3,1
